Date,DALMP,RT LMP,RT DAM Spread,RT>DAM,Day of week,Month,Season,DAM yesterday,DAM 7 days ago,DAM to DAM spread,Rolling 7d DAM mean,Rolling 7d RT DAM spread
1/1/2025,39.29,42.00,2.71,1,3,1,Winter,,,,,
1/2/2025,50.47,64.56,14.09,1,4,1,Winter,39.29,,11.18,,
1/3/2025,64.14,65.37,1.23,1,5,1,Winter,50.47,,13.67,,
1/4/2025,78.65,94.20,15.56,1,6,1,Winter,64.14,,14.51,,
1/5/2025,93.64,119.20,25.56,1,7,1,Winter,78.65,,14.99,,
1/6/2025,131.54,134.87,3.33,1,1,1,Winter,93.64,,37.90,,
1/7/2025,149.08,144.63,-4.45,0,2,1,Winter,131.54,,17.54,,
1/8/2025,154.26,151.98,-2.29,0,3,1,Winter,149.08,39.29,5.19,86.68,8.29
1/9/2025,166.51,149.38,-17.13,0,4,1,Winter,154.26,50.47,12.25,103.11,7.58
1/10/2025,116.00,111.12,-4.88,0,5,1,Winter,166.51,64.14,-50.51,119.69,3.12
1/11/2025,82.56,104.20,21.65,1,6,1,Winter,116.00,78.65,-33.45,127.10,2.24
1/12/2025,71.94,94.69,22.75,1,7,1,Winter,82.56,93.64,-10.62,127.65,3.11
1/13/2025,81.36,84.86,3.50,1,1,1,Winter,71.94,131.54,9.42,124.56,2.71
1/14/2025,105.90,88.63,-17.26,0,2,1,Winter,81.36,149.08,24.54,117.39,2.74
1/15/2025,120.58,151.89,31.31,1,3,1,Winter,105.90,154.26,14.68,111.22,0.91
1/16/2025,141.58,170.78,29.20,1,4,1,Winter,120.58,166.51,21.00,106.41,5.71
1/17/2025,117.00,135.40,18.40,1,5,1,Winter,141.58,116.00,-24.58,102.84,12.32
1/18/2025,106.46,106.98,0.52,1,6,1,Winter,117.00,82.56,-10.54,102.99,15.65
1/19/2025,211.90,107.42,-104.48,0,7,1,Winter,106.46,71.94,105.44,106.40,12.63
1/20/2025,276.83,225.02,-51.81,0,1,1,Winter,211.90,81.36,64.92,126.40,-5.54
1/21/2025,301.94,289.37,-12.57,0,2,1,Winter,276.83,105.90,25.12,154.32,-13.45
1/22/2025,298.54,263.13,-35.40,0,3,1,Winter,301.94,120.58,-3.40,182.33,-12.78
1/23/2025,205.30,202.50,-2.80,0,4,1,Winter,298.54,141.58,-93.24,207.75,-22.31
1/24/2025,180.44,197.15,16.71,1,5,1,Winter,205.30,117.00,-24.86,216.85,-26.88
1/25/2025,152.29,130.88,-21.41,0,6,1,Winter,180.44,106.46,-28.15,225.92,-27.12
1/26/2025,109.52,149.30,39.77,1,7,1,Winter,152.29,211.90,-42.77,232.46,-30.25
1/27/2025,114.31,116.27,1.95,1,1,1,Winter,109.52,276.83,4.79,217.84,-9.65
1/28/2025,136.00,126.56,-9.44,0,2,1,Winter,114.31,301.94,21.69,194.62,-1.97
1/29/2025,132.24,133.96,1.73,1,3,1,Winter,136.00,298.54,-3.76,170.92,-1.52
1/30/2025,124.31,120.09,-4.21,0,4,1,Winter,132.24,205.30,-7.93,147.16,3.79
1/31/2025,98.54,96.14,-2.40,0,5,1,Winter,124.31,180.44,-25.77,135.59,3.58
2/1/2025,69.92,104.27,34.35,1,6,2,Winter,98.54,152.29,-28.62,123.89,0.86
2/2/2025,80.54,144.51,63.97,1,7,2,Winter,69.92,109.52,10.62,112.12,8.82
2/3/2025,73.25,117.33,44.08,1,1,2,Winter,80.54,114.31,-7.29,107.98,12.28
2/4/2025,76.47,80.30,3.83,1,2,2,Winter,73.25,136.00,3.21,102.11,18.30
2/5/2025,134.27,111.62,-22.65,0,3,2,Winter,76.47,132.24,57.81,93.61,20.19
